sentiments,cleaned_review,cleaned_review_length,review_score
neutral,as lot of other reviewers said the scroll wheel broke have had different usb mouse for years without this problem ll be going back to it the battery life is also very short constantly having to recharge it ,38,2.0
neutral,first time that need to change the battery and it doesnt work anymore no duro ni meses ,17,3.0
neutral,quit working after months can get it to work anymore charging port is messed up have unplugged it once ,19,2.0
neutral,repeatedly and without proper functioning my mouse turned on for second then turned right back off again after being plugged into the laptop overnight searched for power issue reviews and found am not the only one cannot recommend this product and feel it should be taken down due to this ,50,1.0
neutral,stopped working month after received this,6,1.0
neutral,didn work would not charge,5,1.0
neutral,this is exactly what needed my favorite features are the quite clicks and the led lights ,16,5.0
neutral,i got this less and two months ago and loved it until today when it broke when touched the wheel ,20,2.0
positive,it was cute and worked super well while it lasted but about weeks into using it it just stops doesn hold charge doesn stay on of course it lasts beyond when you can return it so just don take the chance ,41,1.0
neutral,it already doesn work,4,1.0
neutral,i have had this few months and loved it but now the roller to scroll is not working ,18,3.0
neutral,haven had it long usb adapter is already broken so my mouse is currently unusable on my macbook mouse is decent but seems to not hold charge very long when was using it ,33,2.0
positive,i purchased this mouse back in june of this year it is now october the battery life is soo powerful the color changing is the best experience could have ha with mouse can believe how happy am with this purchase ,40,5.0
negative,the center scroll wheel broke in weeks for no reason mouse was not dropped and barely used garbage so you get what you pay for ,25,1.0
neutral,charged all night and only last few minutes this mouse has pretty design but it too thin to hold just asked for refund but not replaced ,26,2.0
neutral,this worked for few months had to charge it overnight week as work from home and used this mouse for my work laptop after several months it stopped holding charge and would have to be charged daily now it won charge or work super annoying because really need mouse and now have to order another one had hoped this would last lot longer than months but now putting plastic into the landfill and it sucks ,75,1.0
neutral,you could think it decent mouse for the price you paid but in reality it is an uncomfortable mouse and barely works the only good thing about this mouse is that it comes with usb to usb adapter which comes in handy ,42,1.0
neutral,a very reasonably priced cordless rechargeable mouse with button control with scroll wheel which is my preference rather than the macbookair track pad or the mac mouse for the desktop mac ,31,5.0
neutral,i would buy it against it pretty not really bling just sleek ,12,5.0
neutral,it has soft touch,4,1.0
neutral,the scroll feature on the mouse broke weeks after the return period otherwise like it ,15,5.0
positive,its nice mouse but not sure if its good for gaming ,11,1.0
neutral,cool and easy to use at first but broke with in few weeks of use ,15,1.0
neutral,this product simply doesn work the charger connection port is mishapen ,11,1.0
negative,i hated this item they described how easy it was to use and received mine and it does not connect after doing my research on it its suppose to be compatible with my laptop and its not so now have to order different one im very disappointed in this product ,50,1.0
negative,feels very cheap wouldn charge on my laptop had to plug it in on my desktop to charge it finally got it charged just for it to die after hours of non continuous use it getting returned ,37,4.0
positive,my first one had about weeks and the wheel broke loose and it would not work received replacement in two days and it perfect can blame them for manufacturing issue love my pink mouse highly recommend it use it hours day days week ,43,5.0
neutral,it works well it does what purchased it for ,9,2.0
negative,scroll interior post broke causing the mouse to no longer work bought in jan broke oct otherwise nice functioning overall,20,1.0
positive,i purchased this mouse as the wheel on my old one quit working loved the design and wanted another so ordered it and received it aug it is oct and the wheel just quick working again would recommend looking at different mouse if you prefer your scrolling feature ,48,1.0
negative,this item is poorly made battery died within minutes after full charge hours it was returned the same day it was delivered ,22,1.0
neutral,mouse worked fine for months charged it every week or so then wouldn charge via usb not good option for those who need something reliable ,25,1.0
positive,received product on the th charged it and started using it the charge didn last that long maybe day at most but today it doesn work at all glad kept my old battery one ,34,1.0
neutral,this mouse was great up until today when the scroll finger pad completely broke the scroll function is loose and now wont work at all ,25,2.0
neutral,i ve had this for month and half it stopped working ve tried charging repeatedly and it does nothing ,19,2.0
neutral,this worked great for months then one day just stopped working ,11,2.0
neutral,worked well for the first few weeks then broke right after return window closed ,14,3.0
neutral,it was ok for cheap mouse it started lagging after few months and eventually quit working over all,18,1.0
neutral,broke in less than months scrolling won workwouldn recommendquit right outside the return window,14,1.0
positive,ergonomic and fits my hand well pretty when charged mine doesn hold charge well it only lasts couple hours at most ,21,5.0
positive,certainly helps to look at instructional pictures and to try to translate what the instructions mean,16,1.0
neutral,the little wheel broke within the nd day,8,5.0
neutral,performs as expected,3,3.0
neutral,mouse seems to work ok looks nice easy install etc biggest complaint is the time out and wake up feature every time go to use the pc it asleep then have to either click button which may may not cause an action on the pc or pick it up and down several times too annoying so stopped using it might keep it aside for use with my laptop when traveling definitely not for daily use ,75,4.0
neutral,not bad would rather have purchased apple,7,2.0
neutral,the box came absolutely smashed and the mouse doesn work with the usb adapter that included with it ,18,5.0
neutral,broke within week ,3,2.0
positive,this is slim quiet and absolutely love the changing of colors best mouse ve had ,15,5.0
neutral,this worked great at first but have to keep it on power or it will only last about hours after about months ,22,5.0
positive,i bought this mouse to match the keyboard bought for my daughter to use with her laptop she does online school and likes having mouse as well as keyboard she likes that they match and both light up didn know how it would be for gaming ,46,1.0
positive,very easy to use and sleek design it is small enough to fit easily into my computer bag when have to take it with me ,25,5.0
neutral,good feel and ergonomics but scroll wheel broke at six weeks design plastic quality selection does not live up to common everyday use ,23,2.0
positive,this is nice little mouse very quiet clicking and get lots of compliments on the changing color lights ,18,5.0
neutral,did not work with intended laptop,6,5.0
positive,sleek ergonomic feel quiet clicker easy to charge usb easy to install would definitely recommend for the price ,18,5.0
positive,i just purchased this mouse to use with my new laptop and am impressed with the quietness of the buttons and it has helped me win on my games,29,1.0
positive,love the clickity clicks of the mouse got it for my daughter for online school work and she loves the damn thing ,22,1.0
neutral,this mouse would not connect to my compute despite multiple attempts following the instructions given as is typical of many amazon products this product is cheaply made and not worth wasting your money on would suggest avoiding making purchases from this brand in the future and strongly suggest not buying this mouse unless throwing money away on broken pieces of junk that don work is past time of yours then knock yourself out ,73,1.0
neutral,bought the item and scroll button and left button stopped working after about months of use,16,1.0
neutral,very ergonomic,2,5.0
positive,item worked fine for months and then no longer would turn on and yes it was fully charged of course it was past the return date so its basically junk save your money and buy name brand,37,1.0
positive,the mouse is very slim but is so cheaply made don dare drop it or it going to break won by another one,23,1.0
positive, bought this mouse for my office to go with the theme and love it was kind of frustrated at first because it was tricky getting it to come on but after holding the two buttons it worked great purchase ,39,4.0
neutral,these things stop working after few weeks got two and one it just refuses to charge or stay on the other the scroller fell very poorly made do not purchase ,30,1.0
positive,i like how slim it is and the colors are nice touch without being distracting clicking is responsive though the movement was little glitchy for me sometimes my biggest complaint is that the usb sticks out super far if you have to use the usb adapter ,46,2.0
positive,i was super exited for this to come and it worked for about five minuted the only thing that worked was the usb to type adapter ,26,1.0
neutral,i used it for month and then it stopped working ,10,1.0
positive,love the color love how it changes colors and love how it holds charge ,14,5.0
neutral,i bought this mouse because it said it was rechargeable and wouldn have to remember to always have batteries around used it for few days and once the better inside died went to recharge it charged it for hours even though it says the charge time is hours and then went to go use it and it does not work,60,5.0
negative,put one star because this store sent me bad mouse twice the first was working then not working the next did not work at all just wasted time and money ,30,3.0
positive,i love the sleep mode so easy to use ,9,1.0
neutral,works on macbook pro ,4,1.0
positive,i loved this little mouse it looked great it felt great in my hand the wheel was nice for scrolling the battery even held charge for what thought was reasonable amount of time would categorize my usage as light moderate use and no abuse then came the day about month after arrival right after the return window closed that it started glitching now it drops off not responding then will work again then drop off again and not talking about sleep mode this is during active use back and forth back and forth it frustrating probably more because so desperately want mouse instead of my laptop trackpad all that said didn spend whole lot of money on this mouse so get what pay for just wish had gotten little more than month before the glitching ,135,2.0
negative,the scroll button broke after just month would not recommend,10,5.0
positive,i was happy with this purchase until the mouse wheel quit working purchased this device on july and week ago september it quit working after looking through the questions see others have experienced this too wouldn purchase this item it known issue ,42,1.0
positive,i got this for my mother because she wanted something pink and cheap it really feels like its made of trash it does seem to work well enough though the tracking is inconsistent at best the ergonomics are really non existent doesn seem like it made for human hands overall if you re buying for somebody who wants something cheap and pink and cant tell the difference go for it but if you actually care about having half decent mouse skip this one ,83,3.0
positive,like it size perfect fit for laptop bag,8,4.0
neutral,nice mouse little too lightweight for my liking battery lasts while track wheel already broke unfortunately ,16,3.0
neutral,the on off switch often feels like there is sand in the mouse when moving it it not smooth move like would have expected like the mouse but that roughness is annoying at times ,34,1.0
neutral,it taken me while to remember to turn it on after it sits awhile ,14,5.0
neutral,you get what you pay for,6,5.0
neutral,i bought one and the piece going into my laptop didn work the second broke easily ,16,4.0
neutral,very good product ,3,5.0
positive,i love this mouse it quiet and pretty and the battery lasts while probably charge it once maybe twice week,20,5.0
positive,it ergonomic and stylish very cute colors and cool lights comes with all the attachments like cords for charging and it has small indent under the mouse to keep the part that plugs into your laptop forever losing mine so that great feature very quiet as well recommend it for nice cheap little mouse ,54,2.0
neutral,amazing feels cheap but is very durable,7,5.0
positive,very nice mouse love the size and feel,8,5.0
neutral,very cheap mouse connectivity is poor at times ,8,5.0
positive,love the colors so far ok,6,5.0
positive,i love the different colors easy to find at night holds charge for few days ,15,5.0
neutral,soft light smooth ,3,1.0
positive,i like how light and easy to handle is ,9,5.0
positive,love it,2,5.0
negative,i only had this item for month if that and it has already stopped working it will not hold charge and it is not the cable shouldn have ignored the other comments about it not working don make my same mistake ,41,2.0
positive,its slick well made mouse and will be buying another one thanks to manufacturer for nice creativity in build ,19,5.0
positive,i really liked this mouse when first got it it was low profile had nice soft and quiet click had rainbow lights and was available in rose gold color thought made great purchase now ve had it for less than months and the scroll wheel is so squeaky can stand to hear it when scrolling through documents bummed it was lemon ,61,5.0
neutral,i use the mouse instead of mousepad,7,1.0
neutral,very nice,2,5.0
positive,prompt delivery on an awesome product,6,1.0
neutral,the colors were great while it worked the wheel broke and the usb fell apart when pulling it out of the computer ,22,1.0
negative,bought one at first broke within couple of months thinking maybe it was my daughter bought another and broke again within couple of months the middle wheel on the mouse is defective and it the same problem from the first one bought,42,5.0
positive,lightweight mouse easy to charge can use while charging and like the teal color got with fun colors lighting up makes my office work and time at the computer feel little less boring easy to connect and works well with imac ,41,1.0
negative,so sad been using for months only and the scroll wheel broke already bye bye scrolling feature kind of turn off to use it now that its broken,28,1.0
neutral,you have to press down very hard on the mouse it gets very annoying wish still had the box return it,21,5.0
positive,perfect little mouse this mouse is so easy to use and to charge up it lightweight love the little colors and it fits my hand perfectly,26,3.0
neutral,this product only lasted days thought it was not charged but it not that,14,1.0
positive,i don use this mouse often and the mouse has completely failed won turn on it does light up when it is charging but won turn on and stay on completely unusable pretty big bummer since past return do not recommend ,41,3.0
positive,perfect in my office love the lightweight and easy to use ,11,5.0
negative,the mouse worked great until one day it stopped scrolling ve had it just about month the rest of the mouse seems to be working but the scroll wheel is no longer responsive ,33,1.0
negative,do not buy this bought this in august st return period is only days and it stopped working in october rd tried different charging cords thought maybe it was the cord but no lock just completely dead ,37,1.0
negative,the mouse has good shape and charges quickly but the roll just broke after one week of use,18,4.0
neutral,sleep mode works well,4,5.0
positive,simple to use long battery life recharges by plugging into your computer this is the first mouse ve enjoyed using that wasn wired this works much better than the old battery opperated ones and has much longer battery life ,39,5.0
neutral,it no for me ,4,3.0
neutral,lasted little over month and the scroll wheel stopped working ,10,3.0
neutral,it doesn stay charged for very long,7,5.0
positive,just plugged it in and it worked perfectly wanted small low profile mouse to use when travel so far this one seems great the chromebook travel with only has usb ports and did think that that this mouse came with usb receiver but it doesn it comes with usb receiver and an adapter which works fine but together they are over an inch long which is little awkward it means have to be very careful not to bump it and beak it if the receiver were smaller this would be ideal overall great value ,94,1.0
neutral,quiet and just what was looking for,7,1.0
positive,it was great to begin with for the price wasn expecting lot however the scroll wheel quit working within the first times of using it which is one of the reasons purchased it to begin with ,36,2.0
neutral,the mic stopped working and charging after few weeks,9,3.0
positive,it looks awesome and is really quiet only had it for short time but love it ,16,1.0
negative,terrible product first mouse broke within week second mouse broke within months ,12,1.0
neutral,this is broken within month ,5,5.0
neutral,mine stopped working it doesn work on mouse pad and freezes when use it on top of flat surface ,19,5.0
neutral,cheap broke after months,4,5.0
neutral,the product is cheap and worked well for the first months,11,5.0
neutral,stopped working in less than week just up and died and now it has to be returned and look for another one save yourself the effort and keep on lookin this ain it ,33,1.0
positive,battery takes forever to die which is great sleep mode helps lot it thinner and smoother than any other mouse ve own love the lights ,25,1.0
neutral,purchased two works as described you can beat this price highly recommend ,12,4.0
neutral,i got it for my husband he chose his colors lol,11,3.0
neutral,i like that it does not need batteries the battery lasts long time ,13,2.0
positive,i read the other reviews and it seems great fully charge mine and it last few hours if the charge lasted this would be good mouse have to rate mine one ,31,1.0
neutral,right out of the box the mouse never worked the buttons activate but the mouse never moved the cursor junk ,20,5.0
neutral,very good,2,1.0
neutral,i bought one for my laptop and days after got it the wheel stopped working and could hear something loose inside it returned it for replacement the new one seems to be working fine although sometimes the cursor glides smoothly across the screen and other times it jumps around lot maybe this is just something wireless mice do don know ve never had one before ,65,5.0
negative,tried times using this in the week ve had it even checked to make sure it was fully charged turned it off on several times and no improvement movement of cursor is very slow delayed very disappointed with functionality went back to using my battery operated mouse ,47,5.0
neutral,initially thought it great piece but slowly am struggling to use it as it stops working or goes to sleep for long does not get activated by just simply moving bit has to moved few times or even hit it on pad at time ,44,5.0
positive,i bought this for my work laptop and really like it the coloring changing option is fun but don turn that on very often so the charge lasts longer have small hands and it fits my hand comfortably ,38,2.0
neutral,i got this in june and it now the end of september it was great at first and lasted multiple days on charge but now the battery dies after just couple of hours and it dies randomly without any warning so it always in the middle of using it frustrating this lasted maybe months in total,56,3.0
neutral,the type converter from this item wasn working so had to use the one had everything else was working good other than that ,23,1.0
positive,love this mouse it has sleek design and works wonderful love the quietness and the perfect fit for my small hands ,21,5.0
positive,nice mouse and like that the mouse sleeps to save the battery ,12,5.0
negative,looks like the track wheel is connected to an internal device using very fragile thin piece of plastic was simply using the mouse didn drop it or slam it and suddenly the tactile feedback of using the track wheel stopped and the mouse would no longer scroll the screen too bad actually liked the mouse until then ,57,2.0
neutral,mouse is nice and lightweight and quiet but its lags and jumps around sometimes,14,1.0
neutral,stopped working few weeks after purchase ,6,2.0
positive,i admit was going to return this item because did not understand the little usb attachment was on the bottom of the device had charged it but was using the little black usb insert in my laptop which did not work once inserted the white short usb from underneath the pointer my computer accepted it and it works great am still learning how to use these devices at age it is gorgeous and works ,74,2.0
positive,mouse works well and is good value for the inexpensive price ,11,4.0
positive,ordered this mouse in early september as of today it no longer holds charge bought this mouse to have something portable to go along with my laptop as generally dislike using the trackpad it size was ideal and it was overall comfortable and easy to use however this mouse does not hold charge at all had to charge it at least twice per week remember this is not mouse used on my primary computer either and yes do turn it off when it is stored in my bag not thrilled that now have to replace it after only year of use and will not be purchasing again ,107,1.0
neutral,i am rating this negatively because the scroll button didn last more than two weeks it didnt even fall woke up to use my mouse only to discover the scroll wheel wasn working feel like wasted money on this purchase,40,1.0
neutral,love the mouse and it quick connectivity to the computer not happy the scroll bottom quit working ,17,5.0
neutral,glitchy and charge doesn last,5,5.0
positive,nice size color is true to expectation easy use and setup has usbc adapter included for newer hardware usb adapter fits in base of mouse works well on multiple surfaces quick charging ,32,1.0
positive,works great,2,5.0
neutral,it stopped working within days of use ,7,2.0
neutral,it felt like cheap product upon arrival and usage after months and no longer charges and is absolutely useless ,19,4.0
neutral,as expected would buy again,5,1.0
negative,i ve had this mouse for almost months it worked so well and the color changing lights add little pizazz unfortunately the scroll wheel stopped working it no longer has tension on it it just spins now and moves nothing on the screen ,43,1.0
neutral,turns itself off and battery doesn last whole work day ,10,5.0
positive,i work from home and this mouse is very comfortable and responsive ,12,1.0
neutral,it did not come with usb cable to charge the mouse wasted my money ,14,1.0
neutral,this mouse is much faster than my last few like the charging system drawback is when the charger comes missing and it will happen in my house how to replace it ,31,1.0
positive,works like it should and it super easy to set up ,11,1.0
neutral,unfortunately the scroll function is already broken otherwise this is very cute and comfy mouse love the lights ,18,1.0
neutral,i got this mouse and charged it like it said to but when went to use it it doesn even work would not recomend anyone to get this mouse ,29,5.0
positive,beautiful ,1,4.0
neutral,didn hold charge long but now won recharge at all just threw it in the trash had battery operated mouse for years until lost it going back to batteries ,29,5.0
negative,i purchased this mouse thinking it had usb connector not usb with usb adaptor my bad opted to keep it three stars on its scrolling as it was not smooth but it worked would have kept it but after couple of weeks it died and would not charge despite being plugged in for hours don waste your money go with tried and true brand,64,5.0
neutral,i used it for about six weeks and it stopped working,11,2.0
neutral,honestly waste of money didn charge after hours and just didn work ,12,2.0
neutral,it is easy to use,5,1.0
positive,this works like normal mouse and everything however the light that in the mouse is so bright it shines through the white on my mouse it not good aesthetically however if you want mouse that does mouse things this one fine ,41,2.0
positive,great item,2,3.0
positive,great product,2,5.0
neutral,dropped this mouse once from desk to carpet and the scroll button broke guess you get what you pay for ,20,2.0
neutral,love this mouse overall beautiful lights fits well in hand responsive but wheel broke after less than one month of regular use for design work very sad this is the second mouse ve bought first lasted months same issue because like it so much unfortunately will be looking for something different for my next mouse ,55,5.0
neutral,just over month old and the roller no longer functions realize these are cheap but month use exclusively for work not heavy use ,23,5.0
neutral,had it for three months and it was working fine loved that the click was quiet and it was lightweight but it stopped charging and working out of nowhere ,29,5.0
negative,this is the worst mouse ever ,6,5.0
neutral,i wanted product that thought have for at least the semester since ve purchased it the ball that scrolls down up is no longer working makes mouse almost pointless to have seems am going to need new mouse ,38,2.0
neutral,the wheel for scrolling breaks to easily this is the second one that ve purchased with the same issue will try another brand ,23,5.0
positive,the scrolling wheel is not working properly after months so have to buy new mouse the usb charging feature is nice though and it is easy to carry ,28,5.0
neutral,very comfot,2,1.0
positive,love this mouse take it anywhere it classy yet little sexy for my workspace it very adaptable to who needs it in my house for their devices ,27,1.0
neutral,holds charge for days ,4,1.0
positive,works perfectly with my chromebook,5,3.0
negative,for me personally just not good fit,7,1.0
neutral,sensitive mouse maybe because it new works fine,8,1.0
positive,this mouse is very useful and beautiful colors thought it wouldn fit my mac but it came with mac adapter very convenient and cute too ,25,1.0
neutral,this mouse worked great for months then the scroll wheel broke don waste your money ,15,1.0
neutral,i ve had this wireless mouse less than month and the wheel of the mouse has already broke not to happy with this mouse won buy this again,28,1.0
neutral,this mouse was great at first but after week the scrolling part stopped working ,14,5.0
neutral,scroll wheel stopped working within days to long after return time all other features were good ,16,5.0
neutral,the scroll wheel broke after using this for like days very light use too ,14,1.0
neutral,just garbage do not waste your money it is not working after couple of weeks ,15,5.0
positive,literally won charge or turn on look somewhere else for mouse ,11,5.0
positive,i bought this mouse on august it worked well for while but today september the mousewheel spins freely while my screen does not scroll you get what you pay for and guess with this you re only paying for mouse for month and half ,44,3.0
neutral,loved it at first but it stopped charging so it doesn work anymore,13,1.0
positive,i wound up returning because non longer needed it but it did try it out and it worked amazingly love how quiet and sleek it was and the adapter was perfect for my macbook ,34,1.0
neutral,ease of use and portability,5,5.0
neutral,the scroll wheel broke after only month ,7,1.0
neutral,good mouse,2,1.0
positive,love it,2,1.0
neutral,this mouse worked perfectly for about months almost on the month mark exactly the scroll wheel stopped working it just spins and doesn move the cursor up and down the page looked to see if could return but the window closed month ago don be tempted by the cheap price should have stuck to name brand ,56,1.0
neutral,not for regular or big hands,6,5.0
positive,bought exchanged immediately due to sent broken one recieved replacement works sometimes won always work the other original purchase scrolly ball won register any movent good for months if you get one that works properly from the start ,38,1.0
neutral,it joke we tried for long time to get the mouse to even work and it doesn even after trying the mouse on multiple surfaces and troubleshooting thinking it was our computer we plugged in different mouse and it worked fine requested return of the item and had to pay for the return shipping and print the label absolute joke don waste your time ,64,1.0
positive,this wireless mouse works great it light and connected right to my macbook air with no problem ,17,5.0
neutral,i ordered my first one in april and had to replace it in june because dropped it and the mouse wheel stopped working got the new one june th and today once again the mouse wheel stopped working out of nowhere it barely even lasted three months,47,3.0
neutral,my first internal battery mouse liked the ergonomics but the charging was more frequent than would have liked the mouse was thrown in landfill mere months old because the wheel broke mouse not really going to miss you ,38,5.0
neutral,it beautiful but it literally stopped working after month it charges but when turn it on it shuts down right away ,21,3.0
neutral,barely had it months and the scroll wheel on top stopped working now it pretty much useless ,17,5.0
neutral,it good for lighting up mouse but isn for gaming really,11,5.0
neutral,it doesn work anymore after month when the return is no longer allowed then it stopped working ,17,5.0
negative,the mouse is not effective charged for hours still no life or function do not buy when noticed that the mouse was not working charged it for hours tried the mouse again and it still did not work but showed red as one of the colors which may be warning the seller did not respond or reply to assist me with any troubleshooting unsatisfied customer ,65,5.0
neutral,this product is slim and doesn fail easy click though and lights up charge lasts few day,17,1.0
neutral,it works just fine just not practical always have to recharge the battery it is bit of an annoyance ,19,1.0
positive,works good and plug and play ,6,3.0
neutral,i love this mouse ve ordered two the first one lasted me about year and the second ve received just died on me about eight months after purchase the clicker just stopped working on me ,35,1.0
positive,i love the color and how slim it is use it for work school ,14,5.0
positive,super light and cute,4,1.0
neutral,it works well,3,1.0
neutral,liked the recharge aspect,4,1.0
neutral,i love this mouse but have only had for couple months and it completely stopped working yesterday ,17,2.0
neutral,junk,1,5.0
neutral,it good mouse worked very well for the time had it driver broke after two months and it doesn work anymore ,21,5.0
neutral,roller ball broke after weeks of use ,7,1.0
positive,great buy ,2,2.0
negative,purchased in june busted in september the center wheel broken inside rendering the device worthless ,15,2.0
neutral,terrible product only reason still have it is because amazon told me just to keep it when requested return and refund battery doesn last at all feels terrible in your hand and the buttons and scroll ball are not accurate stay away there are plenty of other cheap rgb mice ,50,5.0
negative,even didn lat month broken poor quality ,7,5.0
neutral,this mouse worked great until it didn the scroll wheel no longer works use this mouse at my home office so haven been particularly rough with it where could understand something breaking after less that year of use ,38,5.0
positive,i just love this wireless mouse it not big and bulky the clicking is quite and it really cute looking ,20,2.0
neutral,it just gets stains easily,5,1.0
neutral,i bought this mouse for work and gaming the first one that arrived broke within the first week of using it the scroll wheel broke returned it and got replacement now the scroll wheel on the replacement mouse has broken and the return window has closed if you re looking for wireless mouse do yourself favor and spend little extra for quality that won break after month or two ,69,5.0
neutral,when first got this item it worked fine but after couple of weeks it was not moving the arrow very well dropped it once and it stopped working altogether ,29,1.0
positive,have not had this too long and ve charged it and it won turn on anymore made sure switch is off even changed chargers it stopped working ,27,2.0
negative,stopped working after month will no longer click down unless heavy force very bad product,15,5.0
positive,it great mouse perfect and just what was looking for it really quiet which appreciate because louds clicks do get annoying after some time but not with this mouse the lights are cool too really slim so it easy to pack in my work bag and it feels great while using it ,52,3.0
positive,fits well to contour of hand withstands multiple drops to the floor battery lasts quite while after charging color changing is pretty ,22,5.0
positive,works on phone laptop tv all that pretty cool and lights up so wahoo,14,5.0
negative,i really liked using this mouse it died hair quicker than like but would just use it wired while it charged up however month after using it the middle scroll circle clicked down and wouldn come back up making it impossible for me to use as use that often in playing sims didn expect much as didn pay much but was slightly disappointed ,63,4.0
neutral,bought this in the beginning of august and it already doesn work don waste your money ,16,5.0
positive,i like the fact that it turns off after some time like that it works with usb and like that can use it with my mac or my pc and like the charging cable ,34,5.0
positive,i use this mouse with my laptop it worked pretty good when first got it then the wheel quit working have no idea why ,24,1.0
positive,i saw all the positive reviews and thought this would be winner at first it was great loved the colors it is easy to use but after few months the scroll wheel stopped working dug little deeper into the reviews and realized this is common theme now have to buy another mouse already and it won be another one of these ,61,1.0
negative,it worked less than month before it stopped charging and became useless purchased second one and will see how long it lasts ,22,5.0
positive,worked great for about months stays charged for long time and like being able to use the port in my laptop however now the scroll button moves erratic scrolling down the page and the page jumps up go up and it jumps down ,43,2.0
positive,i love this mouse easy to set up easy to use it seems to go forever on one charge and the ever changing light color is really cool ,28,1.0
positive,sleek and nice love the colors great buy ,8,3.0
positive,so cute and charge lasts forever,6,5.0
